Read File starts:   Wed Dec 12 16:19:47 2018
Read File finishes: Wed Dec 12 16:19:47 2018
initial sz : Wed Dec 12 16:19:47 2018
omp parallel sz starts: Wed Dec 12 16:19:47 2018
mid omp parallel sz : Wed Dec 12 16:19:47 2018
omp parallel sz finishes: Wed Dec 12 16:19:47 2018
diagonal calculation starts:   Wed Dec 12 16:19:47 2018
diagonal calculation finishes: Wed Dec 12 16:19:47 2018
Lanczos Eigen Value start:    Wed Dec 12 16:19:47 2018
  1 th Lanczos step: Wed Dec 12 16:19:47 2018
  2 th Lanczos step: Wed Dec 12 16:19:47 2018
  3 th Lanczos step: Wed Dec 12 16:19:48 2018
  4 th Lanczos step: Wed Dec 12 16:19:48 2018
  5 th Lanczos step: Wed Dec 12 16:19:48 2018
  6 th Lanczos step: Wed Dec 12 16:19:48 2018
  7 th Lanczos step: Wed Dec 12 16:19:48 2018
  8 th Lanczos step: Wed Dec 12 16:19:48 2018
  9 th Lanczos step: Wed Dec 12 16:19:48 2018
 10 th Lanczos step: Wed Dec 12 16:19:48 2018
 11 th Lanczos step: Wed Dec 12 16:19:48 2018
 12 th Lanczos step: Wed Dec 12 16:19:48 2018
 13 th Lanczos step: Wed Dec 12 16:19:48 2018
 14 th Lanczos step: Wed Dec 12 16:19:48 2018
 15 th Lanczos step: Wed Dec 12 16:19:48 2018
 16 th Lanczos step: Wed Dec 12 16:19:48 2018
 17 th Lanczos step: Wed Dec 12 16:19:48 2018
 18 th Lanczos step: Wed Dec 12 16:19:48 2018
 19 th Lanczos step: Wed Dec 12 16:19:48 2018
 20 th Lanczos step: Wed Dec 12 16:19:48 2018
 21 th Lanczos step: Wed Dec 12 16:19:48 2018
 22 th Lanczos step: Wed Dec 12 16:19:48 2018
 23 th Lanczos step: Wed Dec 12 16:19:48 2018
 24 th Lanczos step: Wed Dec 12 16:19:48 2018
 25 th Lanczos step: Wed Dec 12 16:19:48 2018
 26 th Lanczos step: Wed Dec 12 16:19:48 2018
 27 th Lanczos step: Wed Dec 12 16:19:48 2018
 28 th Lanczos step: Wed Dec 12 16:19:48 2018
 29 th Lanczos step: Wed Dec 12 16:19:48 2018
 30 th Lanczos step: Wed Dec 12 16:19:48 2018
